epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,201.176,0.35714,0.97135,0.96782,0.82766,0.95251,0.97345,0.94874,0.21653,0.92577,1.06846,0.000520792,0.000520792,0.000520792
43,205.916,0.3433,1.01623,0.9594,0.91064,0.96004,0.97114,0.95903,0.28904,0.88832,1.08887,0.000516079,0.000516079,0.000516079
44,210.547,0.34121,1.0494,0.97588,0.94287,0.96253,0.97256,0.9565,0.3431,0.84548,1.09034,0.000511367,0.000511367,0.000511367
45,214.936,0.34886,0.92014,0.96014,0.892,0.9539,0.98111,0.96084,0.23909,0.7442,1.00412,0.000506654,0.000506654,0.000506654
46,219.502,0.36013,1.01632,0.97759,0.81872,0.94163,0.93071,0.91224,0.26199,0.7747,0.92464,0.000501942,0.000501942,0.000501942
47,223.833,0.3586,0.95247,0.9441,0.87859,0.93464,0.93678,0.91016,0.24266,0.74641,0.85887,0.00049723,0.00049723,0.00049723
48,228.207,0.33937,0.97958,0.95712,0.82992,0.88117,0.90961,0.88047,0.28271,0.91728,0.87263,0.000492517,0.000492517,0.000492517
49,233.185,0.35806,0.94207,0.96429,0.78703,0.89768,0.89789,0.86094,0.36304,0.97453,0.83269,0.000487805,0.000487805,0.000487805
50,237.929,0.34638,0.97521,0.96379,0.8883,0.90076,0.96933,0.92865,0.40047,0.7396,0.91239,0.000483092,0.000483092,0.000483092
51,242.418,0.34768,0.9186,0.95223,0.85009,0.96066,0.97605,0.95074,0.31668,0.6735,0.99504,0.00047838,0.00047838,0.00047838
52,247.004,0.32496,0.95219,0.95729,0.95397,0.9419,0.97667,0.95236,0.29372,0.6508,1.06661,0.000473668,0.000473668,0.000473668
53,252.212,0.32539,0.86741,0.95476,0.94158,0.95562,0.97588,0.97588,0.25026,0.65293,1.03705,0.000468955,0.000468955,0.000468955
54,257.132,0.33058,0.8912,0.96568,0.94317,0.8901,0.95619,0.94467,0.26729,0.82635,0.95538,0.000464243,0.000464243,0.000464243
55,261.955,0.33745,0.88131,0.94702,0.78637,0.95416,0.94842,0.93841,0.30109,0.97536,0.89937,0.00045953,0.00045953,0.00045953
56,266.882,0.32833,0.88026,0.94861,0.78647,0.95008,0.93562,0.91657,0.20503,0.86005,0.92204,0.000454818,0.000454818,0.000454818
57,271.383,0.30237,0.85702,0.94586,0.87587,0.92782,0.97714,0.96191,0.22623,0.76371,1.02056,0.000450106,0.000450106,0.000450106
58,276.057,0.31271,0.77955,0.96213,0.88062,0.91084,0.97625,0.961,0.22057,0.71215,1.0464,0.000445393,0.000445393,0.000445393
59,281.089,0.3545,1.01906,0.95239,0.86158,0.91012,0.97625,0.93781,0.34095,0.79864,1.10338,0.000440681,0.000440681,0.000440681
60,285.954,0.30714,0.85623,0.94678,0.88439,0.93351,0.97455,0.92716,0.35714,0.79252,1.12918,0.000435968,0.000435968,0.000435968
61,291.37,0.29465,0.82373,0.93818,0.86982,0.9154,0.97021,0.9391,0.32863,0.92079,1.10725,0.000431256,0.000431256,0.000431256
62,296.558,0.30883,0.87138,0.94507,0.92145,0.84205,0.96782,0.94232,0.32405,0.92278,1.11205,0.000426544,0.000426544,0.000426544
63,301.822,0.27444,0.85593,0.95097,0.93624,0.84652,0.96752,0.94129,0.31167,0.79155,1.107,0.000421831,0.000421831,0.000421831
64,307.149,0.31089,0.83364,0.95515,0.90171,0.89363,0.94979,0.91724,0.2749,0.82745,1.12046,0.000417119,0.000417119,0.000417119
65,312.489,0.30208,0.84211,0.93785,0.89703,0.89473,0.9785,0.95438,0.27082,0.79845,1.10138,0.000412406,0.000412406,0.000412406
66,318.001,0.31496,0.82875,0.95201,0.87367,0.98787,0.986,0.96792,0.25381,0.8733,1.09523,0.000407694,0.000407694,0.000407694
67,323.242,0.29492,0.81474,0.93011,0.81851,0.93223,0.95542,0.94986,0.19095,0.74573,1.08137,0.000402982,0.000402982,0.000402982
68,328.432,0.30236,0.80606,0.93986,0.83163,0.98855,0.97605,0.9645,0.21339,0.68821,1.06711,0.000398269,0.000398269,0.000398269
69,333.804,0.32462,0.78979,0.94241,0.82262,0.87156,0.96333,0.95784,0.17949,0.82529,1.02761,0.000393557,0.000393557,0.000393557
70,339.133,0.28222,0.75908,0.94295,0.82759,0.87026,0.96048,0.92574,0.21175,0.96896,1.06538,0.000388844,0.000388844,0.000388844
71,344.486,0.27287,0.81126,0.93355,0.75658,0.94049,0.97357,0.93289,0.25574,0.80894,1.08101,0.000384132,0.000384132,0.000384132
72,349.779,0.27623,0.78195,0.93267,0.86558,0.88654,0.96708,0.94603,0.26977,0.83011,1.07694,0.00037942,0.00037942,0.00037942
73,355.227,0.27385,0.71785,0.93552,0.92832,0.93727,0.97385,0.94231,0.22871,0.76946,1.07326,0.000374707,0.000374707,0.000374707
74,359.855,0.27999,0.80576,0.93655,0.90013,0.95418,0.98,0.92882,0.29685,0.82132,1.07942,0.000369995,0.000369995,0.000369995
75,365.184,0.27163,0.75783,0.93916,0.92277,0.95686,0.98111,0.95042,0.24606,0.7426,1.0228,0.000365282,0.000365282,0.000365282
76,370.057,0.25705,0.76818,0.91297,0.90844,0.92267,0.97383,0.93062,0.26248,0.80725,0.98789,0.00036057,0.00036057,0.00036057
77,374.865,0.27241,0.69859,0.91712,0.8467,0.86492,0.9322,0.90244,0.26703,0.82874,0.97943,0.000355858,0.000355858,0.000355858
78,379.643,0.28517,0.7403,0.93874,0.84214,0.86102,0.94175,0.9226,0.1952,0.68931,0.96664,0.000351145,0.000351145,0.000351145
79,384.135,0.2818,0.75285,0.94001,0.88639,0.83746,0.93589,0.92718,0.23375,0.6682,1.00106,0.000346433,0.000346433,0.000346433
80,388.62,0.26888,0.71567,0.91683,0.86987,0.84984,0.93804,0.90932,0.37399,0.77635,1.08272,0.00034172,0.00034172,0.00034172
81,393.018,0.2693,0.71733,0.93692,0.87798,0.88886,0.95367,0.88411,0.46252,0.75942,1.12184,0.000337008,0.000337008,0.000337008
82,397.488,0.2602,0.70747,0.93141,0.92749,0.97363,0.98429,0.98148,0.25747,0.58395,1.00737,0.000332296,0.000332296,0.000332296
83,401.932,0.26695,0.67665,0.93327,0.9625,0.94196,0.995,0.98145,0.18652,0.53048,0.95703,0.000327583,0.000327583,0.000327583
84,406.714,0.25902,0.71291,0.93875,0.96169,0.95172,0.995,0.98749,0.19077,0.53942,0.9573,0.000322871,0.000322871,0.000322871
85,411.272,0.27533,0.7145,0.93781,0.95207,0.96744,0.995,0.9834,0.16109,0.52699,0.93364,0.000318158,0.000318158,0.000318158
86,415.822,0.24374,0.67539,0.94148,0.95517,0.95902,0.995,0.97553,0.16947,0.56733,0.89728,0.000313446,0.000313446,0.000313446
87,420.449,0.24854,0.69865,0.92311,0.96885,0.94454,0.995,0.98387,0.18178,0.55981,0.91583,0.000308734,0.000308734,0.000308734
88,425.792,0.26237,0.73029,0.93615,0.96748,0.94661,0.995,0.98903,0.19163,0.5129,0.94744,0.000304021,0.000304021,0.000304021
89,430.698,0.24233,0.65247,0.92948,0.92722,0.92476,0.97833,0.97284,0.14209,0.50946,0.98426,0.000299309,0.000299309,0.000299309
90,435.512,0.27411,0.68257,0.93721,0.9213,0.96685,0.995,0.97179,0.13587,0.52254,0.99473,0.000294596,0.000294596,0.000294596
91,440.393,0.24944,0.65841,0.92428,0.92358,0.93734,0.97833,0.97395,0.16377,0.55461,1.00459,0.000289884,0.000289884,0.000289884
92,445.421,0.24357,0.75283,0.93051,0.92788,0.95362,0.995,0.97067,0.16511,0.5652,1.06542,0.000285172,0.000285172,0.000285172
93,450.015,0.23084,0.62896,0.92405,0.92166,0.94614,0.99,0.97843,0.1844,0.5963,1.04645,0.000280459,0.000280459,0.000280459
94,454.581,0.24662,0.72236,0.91906,0.9151,0.94642,0.99,0.96204,0.20233,0.57093,1.02677,0.000275747,0.000275747,0.000275747
95,459.44,0.23744,0.69899,0.94438,0.94632,0.93955,0.9825,0.96753,0.16503,0.52081,1.0491,0.000271034,0.000271034,0.000271034
96,464.064,0.22758,0.67459,0.92465,0.95192,0.94136,0.98429,0.98429,0.15052,0.52512,1.04005,0.000266322,0.000266322,0.000266322
97,468.731,0.25362,0.69285,0.93149,0.93157,0.92199,0.97909,0.9766,0.15715,0.58195,1.0629,0.00026161,0.00026161,0.00026161
98,473.373,0.24148,0.58988,0.92004,0.93108,0.92197,0.97611,0.97014,0.22199,0.67529,1.05708,0.000256897,0.000256897,0.000256897
99,478.336,0.28644,0.69396,0.97001,0.90656,0.93298,0.9775,0.97551,0.22665,0.68547,1.0321,0.000252185,0.000252185,0.000252185
